layer,layer_type,M,N,K,compute_cycles,memory_stall_cycles,total_cycles,stall_ratio,ia_bytes,weight_bytes,oa_bytes,bank_conflict_count,bank_conflict_rate,bank_imbalance,ideal_ia_banks,ideal_weight_banks,ideal_oa_banks
Attn_Q_proj,Non-MoE,256,384,384,9216,1536,10752,0.1428571428571428,196608,36864,196608,396,0.9428571428571428,0.5255382728122436,11,2,11
Attn_K_proj,Non-MoE,256,384,384,9216,1536,10752,0.1428571428571428,196608,36864,196608,396,0.9428571428571428,0.5255382728122436,11,2,11
Attn_V_proj,Non-MoE,256,384,384,9216,1536,10752,0.1428571428571428,196608,36864,196608,396,0.9428571428571428,0.5255382728122436,11,2,11
QKT_head,Non-MoE,256,512,64,2048,2048,4096,0.5,32768,8192,262144,272,0.918918918918919,1.1319130589930768,2,1,21
QKTV_head,Non-MoE,256,64,512,2048,2048,4096,0.5,262144,8192,32768,272,0.918918918918919,1.1319130589930766,21,1,2
Attn_O_proj,Non-MoE,256,384,384,9216,1536,10752,0.1428571428571428,196608,36864,196608,396,0.9428571428571428,0.5255382728122436,11,2,11
Router_logits,Non-MoE,256,8,384,192,1536,1728,0.8888888888888888,196608,768,4096,184,0.934010152284264,1.3637167461085329,22,1,1
MoE-E0-FF1,Expert-FF1,32,1728,384,5184,1344,6528,0.2058823529411764,24576,165888,110592,270,0.9183673469387756,0.5802286431711559,2,13,9
MoE-E0-FF2,Expert-FF2,32,384,1728,5184,1344,6528,0.2058823529411764,110592,165888,24576,270,0.9183673469387756,0.5802286431711559,9,13,2
MoE-E1-FF1,Expert-FF1,48,192,384,864,320,1184,0.2702702702702703,36864,18432,18432,48,0.6666666666666666,0.3849001794597504,12,6,6
MoE-E1-FF2,Expert-FF2,48,384,192,864,320,1184,0.2702702702702703,18432,18432,36864,48,0.6666666666666666,0.3849001794597504,6,6,12
MoE-E2-FF1,Expert-FF1,50,1536,384,7200,1216,8416,0.1444866920152091,38400,147456,153600,308,0.927710843373494,0.4683567582537032,3,10,11
MoE-E2-FF2,Expert-FF2,50,384,1536,7200,1216,8416,0.1444866920152091,153600,147456,38400,308,0.927710843373494,0.4683567582537032,11,10,3
MoE-E3-FF1,Expert-FF1,24,384,384,864,320,1184,0.2702702702702703,18432,36864,18432,48,0.6666666666666666,0.3849001794597504,6,12,6
MoE-E3-FF2,Expert-FF2,24,384,384,864,320,1184,0.2702702702702703,18432,36864,18432,48,0.6666666666666666,0.3849001794597504,6,12,6
MoE-E4-FF1,Expert-FF1,34,1152,384,3672,896,4568,0.1961471103327495,26112,110592,78336,187,0.8862559241706162,0.488228785446716,3,12,9
MoE-E4-FF2,Expert-FF2,34,384,1152,3672,896,4568,0.1961471103327495,78336,110592,26112,187,0.8862559241706162,0.488228785446716,9,12,3
MoE-E5-FF1,Expert-FF1,28,768,384,2016,576,2592,0.2222222222222222,21504,73728,43008,111,0.8222222222222222,0.4698305447081327,4,13,7
MoE-E5-FF2,Expert-FF2,28,384,768,2016,576,2592,0.2222222222222222,43008,73728,21504,111,0.8222222222222222,0.4698305447081327,7,13,4
MoE-E6-FF1,Expert-FF1,21,960,384,1890,768,2658,0.2889390519187358,16128,92160,40320,122,0.8356164383561644,0.6419598359098463,3,15,6
MoE-E6-FF2,Expert-FF2,21,384,960,1890,768,2658,0.2889390519187358,40320,92160,16128,122,0.8356164383561644,0.6419598359098463,6,15,3
MoE-E7-FF1,Expert-FF1,19,960,384,1710,768,2478,0.3099273607748184,14592,92160,36480,117,0.8297872340425532,0.6878839719606554,3,15,6
MoE-E7-FF2,Expert-FF2,19,384,960,1710,768,2478,0.3099273607748184,36480,92160,14592,117,0.8297872340425532,0.6878839719606554,6,15,3
