layer,layer_type,ia_banks,weight_banks,oa_banks,total_cycles,memory_stall_cycles,bank_conflict_count,bank_conflict_rate,hotspot_bank_ratio,idle_bank_ratio,max_queue_depth
Attn_K_proj,Non-MoE,11,2,11,10368,1152,396,0.9428571428571428,0.0,0.0,18
Attn_O_proj,Non-MoE,11,2,11,10368,1152,396,0.9428571428571428,0.0,0.0,18
Attn_Q_proj,Non-MoE,11,2,11,10368,1152,396,0.9428571428571428,0.0,0.0,18
Attn_V_proj,Non-MoE,11,2,11,10368,1152,396,0.9428571428571428,0.0,0.0,18
MoE-E0-FF1,Expert-FF1,2,13,9,6016,832,270,0.9183673469387756,0.0,0.0,13
MoE-E0-FF2,Expert-FF2,9,13,2,6016,832,270,0.9183673469387756,0.0,0.0,13
MoE-E1-FF1,Expert-FF1,12,6,6,1056,192,48,0.6666666666666666,0.0,0.0,3
MoE-E1-FF2,Expert-FF2,6,6,12,1056,192,48,0.6666666666666666,0.0,0.0,3
MoE-E2-FF1,Expert-FF1,3,10,11,8160,960,308,0.927710843373494,0.0,0.0,15
MoE-E2-FF2,Expert-FF2,10,10,4,8160,960,308,0.927710843373494,0.0,0.0,15
MoE-E3-FF1,Expert-FF1,6,12,6,1056,192,48,0.6666666666666666,0.0,0.0,3
MoE-E3-FF2,Expert-FF2,6,12,6,1056,192,48,0.6666666666666666,0.0,0.0,3
MoE-E4-FF1,Expert-FF1,3,12,9,4248,576,187,0.8862559241706162,0.0,0.0,9
MoE-E4-FF2,Expert-FF2,9,12,3,4248,576,187,0.8862559241706162,0.0,0.0,9
MoE-E5-FF1,Expert-FF1,4,12,8,2400,384,111,0.8222222222222222,0.0,0.0,6
MoE-E5-FF2,Expert-FF2,7,12,5,2400,384,111,0.8222222222222222,0.0,0.0,6
MoE-E6-FF1,Expert-FF1,3,13,8,2338,448,122,0.8356164383561644,0.0,0.0,7
MoE-E6-FF2,Expert-FF2,6,13,5,2338,448,122,0.8356164383561644,0.0,0.0,7
MoE-E7-FF1,Expert-FF1,3,15,6,2094,384,117,0.8297872340425532,0.0,0.0,6
MoE-E7-FF2,Expert-FF2,6,15,3,2094,384,117,0.8297872340425532,0.0,0.0,6
QKTV_head,Non-MoE,20,1,3,2880,832,272,0.918918918918919,0.0,0.0,13
QKT_head,Non-MoE,3,1,20,2880,832,272,0.918918918918919,0.0,0.0,13
Router_logits,Non-MoE,22,1,1,768,576,173,0.8781725888324873,0.0,0.0,9
