layer,layer_type,ia_banks,weight_banks,oa_banks,total_cycles,memory_stall_cycles,bank_conflict_count,bank_conflict_rate,hotspot_bank_ratio,idle_bank_ratio,max_queue_depth,total_cycles_best,slowdown,ratio
Attn_Q_proj,Non-MoE,8,8,8,10752,1536,396,0.9428571428571428,0.0,0.0,24,10368,1.037037037037037,8:8:8
Attn_K_proj,Non-MoE,8,8,8,10752,1536,396,0.9428571428571428,0.0,0.0,24,10368,1.037037037037037,8:8:8
Attn_V_proj,Non-MoE,8,8,8,10752,1536,396,0.9428571428571428,0.0,0.0,24,10368,1.037037037037037,8:8:8
QKT_head,Non-MoE,8,8,8,4096,2048,272,0.918918918918919,0.3333333333333333,0.0,32,2880,1.4222222222222223,8:8:8
QKTV_head,Non-MoE,8,8,8,4096,2048,272,0.918918918918919,0.3333333333333333,0.0,32,2880,1.4222222222222223,8:8:8
Attn_O_proj,Non-MoE,8,8,8,10752,1536,396,0.9428571428571428,0.0,0.0,24,10368,1.037037037037037,8:8:8
Router_logits,Non-MoE,8,8,8,1728,1536,184,0.934010152284264,0.3333333333333333,0.4583333333333333,24,768,2.25,8:8:8
MoE-E0-FF1,Expert-FF1,8,8,8,6528,1344,270,0.9183673469387756,0.3333333333333333,0.0,21,6016,1.0851063829787233,8:8:8
MoE-E0-FF2,Expert-FF2,8,8,8,6528,1344,270,0.9183673469387756,0.3333333333333333,0.0,21,6016,1.0851063829787233,8:8:8
MoE-E1-FF1,Expert-FF1,8,8,8,1184,320,48,0.6666666666666666,0.1666666666666666,0.0,5,1056,1.121212121212121,8:8:8
MoE-E1-FF2,Expert-FF2,8,8,8,1184,320,48,0.6666666666666666,0.1666666666666666,0.0,5,1056,1.121212121212121,8:8:8
MoE-E2-FF1,Expert-FF1,8,8,8,8416,1216,308,0.927710843373494,0.0,0.0,19,8160,1.031372549019608,8:8:8
MoE-E2-FF2,Expert-FF2,8,8,8,8416,1216,308,0.927710843373494,0.0,0.0,19,8160,1.031372549019608,8:8:8
MoE-E3-FF1,Expert-FF1,8,8,8,1184,320,48,0.6666666666666666,0.1666666666666666,0.0,5,1056,1.121212121212121,8:8:8
MoE-E3-FF2,Expert-FF2,8,8,8,1184,320,48,0.6666666666666666,0.1666666666666666,0.0,5,1056,1.121212121212121,8:8:8
MoE-E4-FF1,Expert-FF1,8,8,8,4568,896,187,0.8862559241706162,0.1666666666666666,0.0,14,4248,1.0753295668549905,8:8:8
MoE-E4-FF2,Expert-FF2,8,8,8,4568,896,187,0.8862559241706162,0.1666666666666666,0.0,14,4248,1.0753295668549905,8:8:8
MoE-E5-FF1,Expert-FF1,8,8,8,2592,576,111,0.8222222222222222,0.3333333333333333,0.0,9,2400,1.08,8:8:8
MoE-E5-FF2,Expert-FF2,8,8,8,2592,576,111,0.8222222222222222,0.3333333333333333,0.0,9,2400,1.08,8:8:8
MoE-E6-FF1,Expert-FF1,8,8,8,2658,768,122,0.8356164383561644,0.3333333333333333,0.0,12,2338,1.136869118905047,8:8:8
MoE-E6-FF2,Expert-FF2,8,8,8,2658,768,122,0.8356164383561644,0.3333333333333333,0.0,12,2338,1.136869118905047,8:8:8
MoE-E7-FF1,Expert-FF1,8,8,8,2478,768,117,0.8297872340425532,0.3333333333333333,0.0,12,2094,1.183381088825215,8:8:8
MoE-E7-FF2,Expert-FF2,8,8,8,2478,768,117,0.8297872340425532,0.3333333333333333,0.0,12,2094,1.183381088825215,8:8:8
Attn_Q_proj,Non-MoE,4,14,6,12288,3072,396,0.9428571428571428,0.4166666666666667,0.0,32,10368,1.1851851851851851,4:14:6
Attn_K_proj,Non-MoE,4,14,6,12288,3072,396,0.9428571428571428,0.4166666666666667,0.0,32,10368,1.1851851851851851,4:14:6
Attn_V_proj,Non-MoE,4,14,6,12288,3072,396,0.9428571428571428,0.4166666666666667,0.0,32,10368,1.1851851851851851,4:14:6
QKT_head,Non-MoE,4,14,6,4800,2752,278,0.9391891891891893,0.25,0.25,32,2880,1.6666666666666667,4:14:6
QKTV_head,Non-MoE,4,14,6,6144,4096,278,0.9391891891891893,0.1666666666666666,0.25,32,2880,2.1333333333333333,4:14:6
Attn_O_proj,Non-MoE,4,14,6,12288,3072,396,0.9428571428571428,0.4166666666666667,0.0,32,10368,1.1851851851851851,4:14:6
Router_logits,Non-MoE,4,14,6,3264,3072,188,0.9543147208121828,0.1666666666666666,0.625,32,768,4.25,4:14:6
MoE-E0-FF1,Expert-FF1,4,14,6,6336,1152,270,0.9183673469387756,0.0,0.0,18,6016,1.053191489361702,4:14:6
MoE-E0-FF2,Expert-FF2,4,14,6,6912,1728,270,0.9183673469387756,0.1666666666666666,0.0,27,6016,1.148936170212766,4:14:6
MoE-E1-FF1,Expert-FF1,4,14,6,1440,576,48,0.6666666666666666,0.1666666666666666,0.0,9,1056,1.3636363636363635,4:14:6
MoE-E1-FF2,Expert-FF2,4,14,6,1248,384,48,0.6666666666666666,0.3333333333333333,0.0,6,1056,1.1818181818181819,4:14:6
MoE-E2-FF1,Expert-FF1,4,14,6,8800,1600,308,0.927710843373494,0.25,0.0,25,8160,1.0784313725490196,4:14:6
MoE-E2-FF2,Expert-FF2,4,14,6,9632,2432,308,0.927710843373494,0.1666666666666666,0.0,32,8160,1.1803921568627451,4:14:6
MoE-E3-FF1,Expert-FF1,4,14,6,1184,320,48,0.6666666666666666,0.0833333333333333,0.0,5,1056,1.121212121212121,4:14:6
MoE-E3-FF2,Expert-FF2,4,14,6,1184,320,48,0.6666666666666666,0.0833333333333333,0.0,5,1056,1.121212121212121,4:14:6
MoE-E4-FF1,Expert-FF1,4,14,6,4504,832,187,0.8862559241706162,0.0,0.0,13,4248,1.0602636534839924,4:14:6
MoE-E4-FF2,Expert-FF2,4,14,6,4920,1248,187,0.8862559241706162,0.1666666666666666,0.0,20,4248,1.1581920903954803,4:14:6
MoE-E5-FF1,Expert-FF1,4,14,6,2464,448,111,0.8222222222222222,0.0,0.0,7,2400,1.0266666666666666,4:14:6
MoE-E5-FF2,Expert-FF2,4,14,6,2720,704,111,0.8222222222222222,0.1666666666666666,0.0,11,2400,1.1333333333333333,4:14:6
MoE-E6-FF1,Expert-FF1,4,14,6,2338,448,122,0.8356164383561644,0.0,0.0,7,2338,1.0,4:14:6
MoE-E6-FF2,Expert-FF2,4,14,6,2530,640,122,0.8356164383561644,0.1666666666666666,0.0,10,2338,1.0821214713430283,4:14:6
MoE-E7-FF1,Expert-FF1,4,14,6,2158,448,117,0.8297872340425532,0.0,0.0,7,2094,1.0305635148042025,4:14:6
MoE-E7-FF2,Expert-FF2,4,14,6,2286,576,117,0.8297872340425532,0.125,0.0,9,2094,1.0916905444126075,4:14:6
Attn_Q_proj,Non-MoE,2,11,11,15360,6144,396,0.9428571428571428,0.0833333333333333,0.0,32,10368,1.4814814814814814,2:11:11
Attn_K_proj,Non-MoE,2,11,11,15360,6144,396,0.9428571428571428,0.0833333333333333,0.0,32,10368,1.4814814814814814,2:11:11
Attn_V_proj,Non-MoE,2,11,11,15360,6144,396,0.9428571428571428,0.0833333333333333,0.0,32,10368,1.4814814814814814,2:11:11
QKT_head,Non-MoE,2,11,11,3584,1536,275,0.929054054054054,0.4583333333333333,0.125,24,2880,1.2444444444444445,2:11:11
QKTV_head,Non-MoE,2,11,11,10240,8192,275,0.929054054054054,0.0833333333333333,0.125,32,2880,3.5555555555555554,2:11:11
Attn_O_proj,Non-MoE,2,11,11,15360,6144,396,0.9428571428571428,0.0833333333333333,0.0,32,10368,1.4814814814814814,2:11:11
Router_logits,Non-MoE,2,11,11,6336,6144,190,0.964467005076142,0.0833333333333333,0.7083333333333334,32,768,8.25,2:11:11
