window,chunk_tiles,Dynamic-NaivePF,MemDomain-Raw,MemDomain-Safe,Static-NaivePF,Static-NoPF,delta_cycles,change_percent,speedup
0,1,185243,384411,183152,183152,183152,0,0.0,1.0
0,2,185604,239352,184570,184570,184570,0,0.0,1.0
0,4,187483,188350,185887,185887,185887,0,0.0,1.0
0,8,146212,160725,145177,145177,145177,0,0.0,1.0
1,1,139770,136218,136218,137163,183152,-45989,-25.109744911330477,1.3352872130239204
1,2,140720,140876,140876,139670,184570,-44900,-24.326813675028447,1.3214720412400658
1,4,140728,142606,142606,140224,185887,-45663,-24.56492385158725,1.3256432565038796
1,8,102908,107073,107073,102592,145177,-42585,-29.333158833699557,1.415090845290081
2,1,106178,103362,103362,104245,183152,-78907,-43.082794618677376,1.756937982637057
2,2,108908,111094,111094,107874,184570,-76696,-41.55388199599068,1.7109776220405288
2,4,110953,115352,115352,109417,185887,-76470,-41.13789560324284,1.6988859135234926
2,8,93300,99798,99798,92272,145177,-52905,-36.44172286243689,1.5733591988902376
4,1,90425,89954,89954,89946,183152,-93206,-50.88997117148598,2.0362439686033844
4,2,90768,96220,96220,90656,184570,-93914,-50.88259197052609,2.035938051535475
4,4,94324,105496,105496,93708,185887,-92179,-49.588728636214476,1.9836833568105179
4,8,92724,99590,99590,91136,145177,-54041,-37.22421595707309,1.592970944522472
8,1,90161,89954,89954,89996,183152,-93156,-50.86267144229929,2.0351126716742964
8,2,90646,97948,97948,90389,184570,-94181,-51.02725253291433,2.0419520074345328
8,4,92736,108302,108302,91408,185887,-94479,-50.82603947559539,2.0335966217398913
8,8,91588,99174,99174,90848,145177,-54329,-37.42259448810762,1.5980208700246565
