window,chunk_tiles,baseline,total_cycles,prefetch_requests,prefetch_bytes,bank_conflict_count,bank_conflict_rate,prefetch_interference_stall_cycles,timely_prefetch_ratio,late_prefetch_ratio,unused_prefetch_ratio,prefetch_occupancy_byte_cycles,compute_transfer_overlap_cycles
0,1,Static-NoPF,1971616,0,0,1800,0.986842105263158,0,0.0,0.0,0.0,0,12200
0,1,Static-NaivePF,1971616,0,0,1800,0.986842105263158,0,0.0,0.0,0.0,0,12200
0,2,Static-NoPF,1737272,0,0,1800,0.986842105263158,0,0.0,0.0,0.0,0,12296
0,2,Static-NaivePF,1737272,0,0,1800,0.986842105263158,0,0.0,0.0,0.0,0,12296
0,4,Static-NoPF,1611096,0,0,1786,0.9791666666666666,0,0.0,0.0,0.0,0,12328
0,4,Static-NaivePF,1611096,0,0,1786,0.9791666666666666,0,0.0,0.0,0.0,0,12328
0,8,Static-NoPF,1531696,0,0,1786,0.9791666666666666,0,0.0,0.0,0.0,0,13968
0,8,Static-NaivePF,1531696,0,0,1786,0.9791666666666666,0,0.0,0.0,0.0,0,13968
1,1,Static-NoPF,1971616,0,0,1800,0.986842105263158,0,0.0,0.0,0.0,0,12200
1,1,Static-NaivePF,1970568,38,516096,1800,0.986842105263158,0,0.0,1.0,0.0,1224048640,12224
1,2,Static-NoPF,1737272,0,0,1800,0.986842105263158,0,0.0,0.0,0.0,0,12296
1,2,Static-NaivePF,1736696,23,520192,1800,0.986842105263158,0,0.0,1.0,0.0,1505918976,12320
1,4,Static-NoPF,1611096,0,0,1786,0.9791666666666666,0,0.0,0.0,0.0,0,12328
1,4,Static-NaivePF,1610768,14,491520,1786,0.9791666666666666,0,0.0,1.0,0.0,1678966784,12352
1,8,Static-NoPF,1531696,0,0,1786,0.9791666666666666,0,0.0,0.0,0.0,0,13968
1,8,Static-NaivePF,1531440,10,475136,1786,0.9791666666666666,0,0.0,1.0,0.0,1622278144,13992
2,1,Static-NoPF,1971616,0,0,1800,0.986842105263158,0,0.0,0.0,0.0,0,12200
2,1,Static-NaivePF,1969536,38,516096,1800,0.986842105263158,0,0.0,1.0,0.0,1223311360,12216
2,2,Static-NoPF,1737272,0,0,1800,0.986842105263158,0,0.0,0.0,0.0,0,12296
2,2,Static-NaivePF,1736168,23,520192,1800,0.986842105263158,0,0.0,1.0,0.0,1505394688,12288
2,4,Static-NoPF,1611096,0,0,1786,0.9791666666666666,0,0.0,0.0,0.0,0,12328
2,4,Static-NaivePF,1610464,14,491520,1786,0.9791666666666666,0,0.0,1.0,0.0,1678966784,12344
2,8,Static-NoPF,1531696,0,0,1786,0.9791666666666666,0,0.0,0.0,0.0,0,13968
2,8,Static-NaivePF,1531264,10,475136,1786,0.9791666666666666,0,0.0,1.0,0.0,1621884928,13984
4,1,Static-NoPF,1971616,0,0,1800,0.986842105263158,0,0.0,0.0,0.0,0,12200
4,1,Static-NaivePF,1967880,38,516096,1800,0.986842105263158,0,0.0,1.0,0.0,1222918144,12200
4,2,Static-NoPF,1737272,0,0,1800,0.986842105263158,0,0.0,0.0,0.0,0,12296
4,2,Static-NaivePF,1735208,23,520192,1800,0.986842105263158,0,0.0,1.0,0.0,1505181696,12288
4,4,Static-NoPF,1611096,0,0,1786,0.9791666666666666,0,0.0,0.0,0.0,0,12328
4,4,Static-NaivePF,1609896,14,491520,1786,0.9791666666666666,0,0.0,1.0,0.0,1678573568,12328
4,8,Static-NoPF,1531696,0,0,1786,0.9791666666666666,0,0.0,0.0,0.0,0,13968
4,8,Static-NaivePF,1533616,10,475136,1787,0.9797149122807016,0,0.0,1.0,0.0,1621753856,14144
8,1,Static-NoPF,1971616,0,0,1800,0.986842105263158,0,0.0,0.0,0.0,0,12200
8,1,Static-NaivePF,1965752,38,516096,1800,0.986842105263158,0,0.0,1.0,0.0,1226784768,12160
8,2,Static-NoPF,1737272,0,0,1800,0.986842105263158,0,0.0,0.0,0.0,0,12296
8,2,Static-NaivePF,1734024,23,520192,1800,0.986842105263158,0,0.0,1.0,0.0,1507491840,12288
8,4,Static-NoPF,1611096,0,0,1786,0.9791666666666666,0,0.0,0.0,0.0,0,12328
8,4,Static-NaivePF,1609088,14,491520,1786,0.9791666666666666,0,0.0,1.0,0.0,1677688832,12288
8,8,Static-NoPF,1531696,0,0,1786,0.9791666666666666,0,0.0,0.0,0.0,0,13968
8,8,Static-NaivePF,1528528,10,475136,1784,0.9780701754385964,0,0.0,1.0,0.0,1622900736,13312
