window,chunk_tiles,safe_cycles,fixed_window_incumbent_cycles,delta_cycles,selected_candidate,fallback_used
0,1,183152,183152,0,Online-Guarded-Full,True
0,2,184570,184570,0,Online-Guarded-Full,True
0,4,185887,185887,0,Online-Guarded-Full,True
0,8,145177,145177,0,Online-Guarded-Full,True
1,1,137163,137163,0,Online-Guarded-Full,True
1,2,139670,139670,0,Online-Guarded-Full,True
1,4,140224,140224,0,Online-Guarded-Full,True
1,8,102592,102592,0,Online-Guarded-Full,True
2,1,104245,104245,0,Online-Guarded-Full,True
2,2,107874,107874,0,Online-Guarded-Full,True
2,4,109417,109417,0,Online-Guarded-Full,True
2,8,92272,92272,0,Online-Guarded-Full,True
4,1,89946,89946,0,Online-Guarded-Full,True
4,2,90656,90656,0,Online-Guarded-Full,True
4,4,93708,93708,0,Online-Guarded-Full,True
4,8,91136,91136,0,Online-Guarded-Full,True
8,1,89996,89996,0,Online-Guarded-Full,True
8,2,90389,90389,0,Online-Guarded-Full,True
8,4,91408,91408,0,Online-Guarded-Full,True
8,8,90848,90848,0,Online-Guarded-Full,True
