window,chunk_tiles,weight_load_stall_cycles,prefetch_miss_stall_cycles,prefetch_interference_stall_cycles,total_cycles
0,1,93354,0,758,183152
0,2,93797,0,1733,184570
0,4,93696,0,3151,185887
0,8,54112,0,2025,145177
1,1,0,47166,957,137163
1,2,0,48897,1733,139670
1,4,0,47952,3232,140224
1,8,0,11744,1808,102592
2,1,0,14246,959,104245
2,2,0,17282,1552,107874
2,4,0,17081,3296,109417
2,8,0,576,2656,92272
4,1,0,84,822,89946
4,2,0,0,1616,90656
4,4,0,1372,3296,93708
4,8,0,0,2096,91136
8,1,0,0,956,89996
8,2,0,0,1349,90389
8,4,0,0,2368,91408
8,8,0,0,1808,90848
