window,chunk_tiles,dynamic_gain_vs_static_percent,raw_gain_vs_dynamic_percent,safe_delta_vs_incumbent_cycles
0,1,0.0,-1.3786363239276733,0
0,2,0.8750067724982435,-1.1685933699543627,0
0,4,0.8203908826329931,-1.443898417244327,0
0,8,0.9436756511017608,-0.8852142107129701,0
1,1,0.4600365987912247,-0.20288284065275164,0
1,2,1.022409966349247,-0.004340214985321111,0
1,4,0.862905066179831,0.023738616254476153,0
1,8,0.8694635059263933,-0.22320550639134407,0
2,1,0.7635857834908166,-0.37893068081855663,0
2,2,0.4505256132154134,-0.9302715387194072,0
2,4,0.0,1.0117257830136062,0
2,8,0.0,-0.3316282295821038,0
4,1,0.0,0.09894825784358963,0
4,2,0.0,-0.1301623720437739,0
4,4,0.0,-0.3297477269816884,0
4,8,0.0,-1.7216028792134797,0
8,1,0.0,0.15445130894706782,0
8,2,0.0,-0.29649625507528476,0
8,4,0.0,-1.3488972518816755,0
8,8,0.0,-2.854218034519196,0
