layer,layer_type,ia_banks,weight_banks,oa_banks,total_cycles,memory_service_cycles,memory_stall_cycles,bank_conflict_count,bank_conflict_rate,hotspot_bank_ratio,idle_bank_ratio,max_bank_pressure,max_queue_depth,total_cycles_best,slowdown,ratio
Attn_Q_proj,Non-MoE,5,5,5,38208,38208,27264,42348,0.8787350597609562,0.1333333333333333,0.1333333333333333,1.2,1,37512,1.018554062699936,5:5:5
Attn_K_proj,Non-MoE,5,5,5,38208,38208,27264,42348,0.8787350597609562,0.1333333333333333,0.1333333333333333,1.2,1,37512,1.018554062699936,5:5:5
Attn_V_proj,Non-MoE,5,5,5,38208,38208,27264,42348,0.8787350597609562,0.1333333333333333,0.1333333333333333,1.2,1,37512,1.018554062699936,5:5:5
QKT_head,Non-MoE,5,5,5,7424,7424,3072,10584,0.8524484536082474,0.5333333333333333,0.5333333333333333,2.6,1,7144,1.0391937290033595,5:5:5
QKTV_head,Non-MoE,5,5,5,8544,8544,6208,9352,0.8802710843373494,0.5333333333333333,0.5333333333333333,2.6,1,8320,1.0269230769230768,5:5:5
Attn_O_proj,Non-MoE,5,5,5,38208,38208,27264,42348,0.8787350597609562,0.1333333333333333,0.1333333333333333,1.2,1,37512,1.018554062699936,5:5:5
Router_logits,Non-MoE,5,5,5,3520,3520,2464,3810,0.7964046822742475,0.5333333333333333,0.5333333333333333,2.6,1,3334,1.0557888422315538,5:5:5
MoE-E0-FF1,Expert-FF1,5,5,5,21492,21492,15336,27162,0.8496621621621622,0.4,0.4,2.2,1,21276,1.0101522842639594,5:5:5
MoE-E0-FF2,Expert-FF2,5,5,5,21912,21912,16512,26700,0.8531441717791411,0.4,0.4,2.2,1,21612,1.01388117712382,5:5:5
MoE-E1-FF1,Expert-FF1,5,5,5,3582,3582,2556,4131,0.8693181818181818,0.1333333333333333,0.1333333333333333,1.2,1,3528,1.0153061224489797,5:5:5
MoE-E1-FF2,Expert-FF2,5,5,5,3492,3492,2304,4230,0.8639705882352942,0.1333333333333333,0.1333333333333333,1.2,1,3456,1.0104166666666667,5:5:5
MoE-E2-FF1,Expert-FF1,5,5,5,30744,30744,21816,38376,0.8267838676318511,0.2666666666666666,0.2666666666666666,1.8,1,30312,1.0142517814726841,5:5:5
MoE-E2-FF2,Expert-FF2,5,5,5,31014,31014,23382,37782,0.8300817295017137,0.2666666666666666,0.2666666666666666,1.8,1,30474,1.0177200236266981,5:5:5
