Layer,M,N,K,
MoE-E0-FF1,32,1728,384,
MoE-E0-FF2,32,384,1728,

MoE-E1-FF1,32,192,384,
MoE-E1-FF2,32,384,192,

MoE-E2-FF1,32,1536,384,
MoE-E2-FF2,32,384,1536,

MoE-E3-FF1,32,384,384,
MoE-E3-FF2,32,384,384,

MoE-E4-FF1,32,1152,384,
MoE-E4-FF2,32,384,1152,

MoE-E5-FF1,32,768,384,
MoE-E5-FF2,32,384,768,

MoE-E6-FF1,32,960,384,
MoE-E6-FF2,32,384,960,

MoE-E7-FF1,32,960,384,
MoE-E7-FF2,32,384,960,

MoE-E8-FF1,32,1728,384,
MoE-E8-FF2,32,384,1728,

MoE-E9-FF1,32,192,384,
MoE-E9-FF2,32,384,192,

MoE-E10-FF1,32,1536,384,
MoE-E10-FF2,32,384,1536,

MoE-E11-FF1,32,384,384,
MoE-E11-FF2,32,384,384,

MoE-E12-FF1,32,1152,384,
MoE-E12-FF2,32,384,1152,

MoE-E13-FF1,32,768,384,
MoE-E13-FF2,32,384,768,

MoE-E14-FF1,32,960,384,
MoE-E14-FF2,32,384,960,

MoE-E15-FF1,32,960,384,
MoE-E15-FF2,32,384,960,
