Layer,M,N,K,
Attn_Q_proj,256,384,384,
Attn_K_proj,256,384,384,
Attn_V_proj,256,384,384,
QKT_head,256,512,64,
QKTV_head,256,64,512,
Attn_O_proj,256,384,384,
Router_logits,256,8,384,
MoE-E0-FF1,32,1728,384,
MoE-E0-FF2,32,384,864,
MoE-E1-FF1,48,2112,384,
MoE-E1-FF2,48,384,1056,
MoE-E2-FF1,50,2496,384,
MoE-E2-FF2,50,384,1248,
MoE-E3-FF1,24,2880,384,
MoE-E3-FF2,24,384,1440,
MoE-E4-FF1,34,3264,384,
MoE-E4-FF2,34,384,1632,
MoE-E5-FF1,28,3648,384,
MoE-E5-FF2,28,384,1824,
MoE-E6-FF1,21,4032,384,
MoE-E6-FF2,21,384,2016,
MoE-E7-FF1,19,4416,384,
MoE-E7-FF2,19,384,2208,
