Layer,M,N,K,
MoE-E0-FF1,16,432,96,
MoE-E0-FF2,16,96,432,
MoE-E1-FF1,16,48,96,
MoE-E1-FF2,16,96,48,
MoE-E2-FF1,16,384,96,
MoE-E2-FF2,16,96,384,
MoE-E3-FF1,16,96,96,
MoE-E3-FF2,16,96,96,
MoE-E4-FF1,16,288,96,
MoE-E4-FF2,16,96,288,
MoE-E5-FF1,16,192,96,
MoE-E5-FF2,16,96,192,
MoE-E6-FF1,16,240,96,
MoE-E6-FF2,16,96,240,
MoE-E7-FF1,16,240,96,
MoE-E7-FF2,16,96,240,
MoE-E8-FF1,16,432,96,
MoE-E8-FF2,16,96,432,
MoE-E9-FF1,16,48,96,
MoE-E9-FF2,16,96,48,
MoE-E10-FF1,16,384,96,
MoE-E10-FF2,16,96,384,
MoE-E11-FF1,16,96,96,
MoE-E11-FF2,16,96,96,
MoE-E12-FF1,16,288,96,
MoE-E12-FF2,16,96,288,
MoE-E13-FF1,16,192,96,
MoE-E13-FF2,16,96,192,
MoE-E14-FF1,16,240,96,
MoE-E14-FF2,16,96,240,
MoE-E15-FF1,16,240,96,
MoE-E15-FF2,16,96,240,
