Layer,M,N,K,
Attn_Q_proj,256,384,384,
Attn_K_proj,256,384,384,
Attn_V_proj,256,384,384,
QKT_head,256,512,64,
QKTV_head,256,64,512,
Attn_O_proj,256,384,384,
Router_logits,256,8,384,
MoE-E0-FF1,121,2688,384,
MoE-E0-FF2,121,384,1344,
MoE-E1-FF1,61,2688,384,
MoE-E1-FF2,61,384,1344,
MoE-E2-FF1,31,2688,384,
MoE-E2-FF2,31,384,1344,
MoE-E3-FF1,15,2688,384,
MoE-E3-FF2,15,384,1344,
MoE-E4-FF1,7,2688,384,
MoE-E4-FF2,7,384,1344,
MoE-E5-FF1,7,2688,384,
MoE-E5-FF2,7,384,1344,
MoE-E6-FF1,7,2688,384,
MoE-E6-FF2,7,384,1344,
MoE-E7-FF1,7,2688,384,
MoE-E7-FF2,7,384,1344,
