Layer,M,N,K,
Attn_Q_proj,256,96,96,
Attn_K_proj,256,96,96,
Attn_V_proj,256,96,96,
QKT_head,256,128,16,
QKTV_head,256,16,128,
Attn_O_proj,256,96,96,
Router_logits,256,8,96,
MoE-E0-FF1,32,432,96,
MoE-E0-FF2,32,96,224,
MoE-E1-FF1,48,528,96,
MoE-E1-FF2,48,96,272,
MoE-E2-FF1,50,624,96,
MoE-E2-FF2,50,96,320,
MoE-E3-FF1,24,720,96,
MoE-E3-FF2,24,96,368,
MoE-E4-FF1,34,816,96,
MoE-E4-FF2,34,96,416,
MoE-E5-FF1,28,912,96,
MoE-E5-FF2,28,96,464,
MoE-E6-FF1,21,1008,96,
MoE-E6-FF2,21,96,512,
MoE-E7-FF1,19,1104,96,
MoE-E7-FF2,19,96,560,
