Layer,M,N,K,
Attn_Q_proj,64,96,96,
Attn_K_proj,64,96,96,
Attn_V_proj,64,96,96,
QKT_head,64,128,16,
QKTV_head,64,16,128,
Attn_O_proj,64,96,96,
Router_logits,64,8,96,
MoE-E0-FF1,35,432,96,
MoE-E0-FF2,35,96,224,
MoE-E1-FF1,12,528,96,
MoE-E1-FF2,12,96,272,
MoE-E2-FF1,10,624,96,
MoE-E2-FF2,10,96,320,
MoE-E3-FF1,3,720,96,
MoE-E3-FF2,3,96,368,
MoE-E4-FF1,1,816,96,
MoE-E4-FF2,1,96,416,
MoE-E5-FF1,1,912,96,
MoE-E5-FF2,1,96,464,
MoE-E6-FF1,1,1008,96,
MoE-E6-FF2,1,96,512,
MoE-E7-FF1,1,1104,96,
MoE-E7-FF2,1,96,560,
