Layer,M,N,K,
Attn_Q_proj,128,96,96,
Attn_K_proj,128,96,96,
Attn_V_proj,128,96,96,
QKT_head,128,128,16,
QKTV_head,128,16,128,
Attn_O_proj,128,96,96,
Router_logits,128,8,96,
MoE-E0-FF1,40,384,96,
MoE-E0-FF2,40,96,384,
MoE-E1-FF1,25,384,96,
MoE-E1-FF2,25,96,384,
MoE-E2-FF1,12,384,96,
MoE-E2-FF2,12,96,384,
MoE-E3-FF1,19,384,96,
MoE-E3-FF2,19,96,384,
MoE-E4-FF1,11,384,96,
MoE-E4-FF2,11,96,384,
MoE-E5-FF1,8,384,96,
MoE-E5-FF2,8,96,384,
MoE-E6-FF1,8,384,96,
MoE-E6-FF2,8,96,384,
MoE-E7-FF1,5,384,96,
MoE-E7-FF2,5,96,384,
