Layer,M,N,K
Attn_Q_proj,64,96,96,
Attn_K_proj,64,96,96,
Attn_V_proj,64,96,96,

QKT_head,64,128,16,
QKTV_head,64,16,128,

Attn_O_proj,64,96,96,

Router_logits,64,8,96,

MoE-E0-FF1,17,432,96,
MoE-E0-FF2,17,96,432,

MoE-E1-FF1,11,48,96,
MoE-E1-FF2,11,96,48,

MoE-E2-FF1,8,384,96,
MoE-E2-FF2,8,96,384,

MoE-E3-FF1,8,96,96,
MoE-E3-FF2,8,96,96,

MoE-E4-FF1,6,288,96,
MoE-E4-FF2,6,96,288,

MoE-E5-FF1,4,192,96,
MoE-E5-FF2,4,96,192,

MoE-E6-FF1,5,240,96,
MoE-E6-FF2,5,96,240,

MoE-E7-FF1,5,240,96,
MoE-E7-FF2,5,96,240,
