Layer,M,N,K,
Attn_Q_proj,256,96,96,
Attn_K_proj,256,96,96,
Attn_V_proj,256,96,96,
QKT_head,256,128,16,
QKTV_head,256,16,128,
Attn_O_proj,256,96,96,
Router_logits,256,16,96,
MoE-E0-FF1,16,672,96,
MoE-E0-FF2,16,96,336,
MoE-E1-FF1,24,672,96,
MoE-E1-FF2,24,96,336,
MoE-E2-FF1,25,672,96,
MoE-E2-FF2,25,96,336,
MoE-E3-FF1,12,672,96,
MoE-E3-FF2,12,96,336,
MoE-E4-FF1,17,672,96,
MoE-E4-FF2,17,96,336,
MoE-E5-FF1,14,672,96,
MoE-E5-FF2,14,96,336,
MoE-E6-FF1,11,672,96,
MoE-E6-FF2,11,96,336,
MoE-E7-FF1,10,672,96,
MoE-E7-FF2,10,96,336,
MoE-E8-FF1,16,672,96,
MoE-E8-FF2,16,96,336,
MoE-E9-FF1,24,672,96,
MoE-E9-FF2,24,96,336,
MoE-E10-FF1,25,672,96,
MoE-E10-FF2,25,96,336,
MoE-E11-FF1,12,672,96,
MoE-E11-FF2,12,96,336,
MoE-E12-FF1,17,672,96,
MoE-E12-FF2,17,96,336,
MoE-E13-FF1,14,672,96,
MoE-E13-FF2,14,96,336,
MoE-E14-FF1,10,672,96,
MoE-E14-FF2,10,96,336,
MoE-E15-FF1,9,672,96,
MoE-E15-FF2,9,96,336,
