Layer,M,N,K,
Attn_Q_proj,256,96,96,
Attn_K_proj,256,96,96,
Attn_V_proj,256,96,96,
QKT_head,256,128,16,
QKTV_head,256,16,128,
Attn_O_proj,256,96,96,
Router_logits,256,8,96,
MoE-E0-FF1,121,672,96,
MoE-E0-FF2,121,96,336,
MoE-E1-FF1,61,672,96,
MoE-E1-FF2,61,96,336,
MoE-E2-FF1,31,672,96,
MoE-E2-FF2,31,96,336,
MoE-E3-FF1,15,672,96,
MoE-E3-FF2,15,96,336,
MoE-E4-FF1,7,672,96,
MoE-E4-FF2,7,96,336,
MoE-E5-FF1,7,672,96,
MoE-E5-FF2,7,96,336,
MoE-E6-FF1,7,672,96,
MoE-E6-FF2,7,96,336,
MoE-E7-FF1,7,672,96,
MoE-E7-FF2,7,96,336,
