Layer,M,N,K
Attn_Q_proj,256,96,96,
Attn_K_proj,256,96,96,
Attn_V_proj,256,96,96,
QKT_head,256,128,16,
QKTV_head,256,16,128,
Attn_O_proj,256,96,96,
Router_logits,256,8,96,
MoE-E0-FF1,32,432,96,
MoE-E0-FF2,32,96,432,
MoE-E1-FF1,48,48,96,
MoE-E1-FF2,48,96,48,
MoE-E2-FF1,50,384,96,
MoE-E2-FF2,50,96,384,
MoE-E3-FF1,24,96,96,
MoE-E3-FF2,24,96,96,
MoE-E4-FF1,34,288,96,
MoE-E4-FF2,34,96,288,
MoE-E5-FF1,28,192,96,
MoE-E5-FF2,28,96,192,
MoE-E6-FF1,21,240,96,
MoE-E6-FF2,21,96,240,
MoE-E7-FF1,19,240,96,
MoE-E7-FF2,19,96,240,
