Layer,M,N,K,
Attn_Q_proj,256,384,384,
Attn_K_proj,256,384,384,
Attn_V_proj,256,384,384,
QKT_head,256,512,64,
QKTV_head,256,64,512,
Attn_O_proj,256,384,384,
Router_logits,256,8,384,
MoE-E0-FF1,32,1536,384,
MoE-E0-FF2,32,384,1536,
MoE-E1-FF1,48,1536,384,
MoE-E1-FF2,48,384,1536,
MoE-E2-FF1,50,1536,384,
MoE-E2-FF2,50,384,1536,
MoE-E3-FF1,24,1536,384,
MoE-E3-FF2,24,384,1536,
MoE-E4-FF1,34,1536,384,
MoE-E4-FF2,34,384,1536,
MoE-E5-FF1,28,1536,384,
MoE-E5-FF2,28,384,1536,
MoE-E6-FF1,21,1536,384,
MoE-E6-FF2,21,384,1536,
MoE-E7-FF1,19,1536,384,
MoE-E7-FF2,19,384,1536,
